"None","Points:0","Points:1","Points:2"
53.894,4.1278e+05,3.8639e+06,-80000
53.744,4.1678e+05,3.8639e+06,-80000
53.657,4.2078e+05,3.8639e+06,-80000
53.698,4.2478e+05,3.8639e+06,-80000
53.822,4.2878e+05,3.8639e+06,-80000
53.987,4.3278e+05,3.8639e+06,-80000
54.208,4.3678e+05,3.8639e+06,-80000
54.524,4.4078e+05,3.8639e+06,-80000
54.889,4.4478e+05,3.8639e+06,-80000
55.306,4.4878e+05,3.8639e+06,-80000
55.863,4.5278e+05,3.8639e+06,-80000
56.476,4.5678e+05,3.8639e+06,-80000
57.304,4.6078e+05,3.8639e+06,-80000
58.253,4.6478e+05,3.8639e+06,-80000
59.559,4.6878e+05,3.8639e+06,-80000
61.441,4.7278e+05,3.8639e+06,-80000
64.018,4.7678e+05,3.8639e+06,-80000
66.189,4.8078e+05,3.8639e+06,-80000
66.904,4.8478e+05,3.8639e+06,-80000
66,4.8878e+05,3.8639e+06,-80000
64.733,4.9278e+05,3.8639e+06,-80000
63.104,4.9678e+05,3.8639e+06,-80000
62.009,5.0078e+05,3.8639e+06,-80000
61.141,5.0478e+05,3.8639e+06,-80000
60.507,5.0878e+05,3.8639e+06,-80000
60.06,5.1278e+05,3.8639e+06,-80000
59.68,5.1678e+05,3.8639e+06,-80000
59.246,5.2078e+05,3.8639e+06,-80000
58.968,5.2478e+05,3.8639e+06,-80000
58.656,5.2878e+05,3.8639e+06,-80000
58.488,5.3278e+05,3.8639e+06,-80000
58.439,5.3678e+05,3.8639e+06,-80000
58.385,5.4078e+05,3.8639e+06,-80000
58.431,5.4478e+05,3.8639e+06,-80000
58.53,5.4878e+05,3.8639e+06,-80000
58.664,5.5278e+05,3.8639e+06,-80000
58.897,5.5678e+05,3.8639e+06,-80000
59.255,5.6078e+05,3.8639e+06,-80000
59.635,5.6478e+05,3.8639e+06,-80000
60.076,5.6878e+05,3.8639e+06,-80000
60.624,5.7278e+05,3.8639e+06,-80000
61.302,5.7678e+05,3.8639e+06,-80000
62.104,5.8078e+05,3.8639e+06,-80000
63.075,5.8478e+05,3.8639e+06,-80000
64.287,5.8878e+05,3.8639e+06,-80000
65.607,5.9278e+05,3.8639e+06,-80000
67.293,5.9678e+05,3.8639e+06,-80000
69.409,6.0078e+05,3.8639e+06,-80000
71.572,6.0478e+05,3.8639e+06,-80000
74.413,6.0878e+05,3.8639e+06,-80000
78.182,6.1278e+05,3.8639e+06,-80000
81.999,6.1678e+05,3.8639e+06,-80000
85.771,6.2078e+05,3.8639e+06,-80000
89.474,6.2478e+05,3.8639e+06,-80000
92.754,6.2878e+05,3.8639e+06,-80000
95.499,6.3278e+05,3.8639e+06,-80000
97.122,6.3678e+05,3.8639e+06,-80000
98.147,6.4078e+05,3.8639e+06,-80000
98.343,6.4478e+05,3.8639e+06,-80000
98.209,6.4878e+05,3.8639e+06,-80000
97.788,6.5278e+05,3.8639e+06,-80000
96.831,6.5678e+05,3.8639e+06,-80000
94.938,6.6078e+05,3.8639e+06,-80000
92.506,6.6478e+05,3.8639e+06,-80000
89.051,6.6878e+05,3.8639e+06,-80000
84.837,6.7278e+05,3.8639e+06,-80000
80.909,6.7678e+05,3.8639e+06,-80000
76.96,6.8078e+05,3.8639e+06,-80000
73.875,6.8478e+05,3.8639e+06,-80000
71.321,6.8878e+05,3.8639e+06,-80000
69.149,6.9278e+05,3.8639e+06,-80000
53.966,4.1278e+05,3.8679e+06,-80000
53.873,4.1678e+05,3.8679e+06,-80000
53.817,4.2078e+05,3.8679e+06,-80000
53.955,4.2478e+05,3.8679e+06,-80000
54.169,4.2878e+05,3.8679e+06,-80000
54.434,4.3278e+05,3.8679e+06,-80000
54.783,4.3678e+05,3.8679e+06,-80000
55.223,4.4078e+05,3.8679e+06,-80000
55.69,4.4478e+05,3.8679e+06,-80000
56.203,4.4878e+05,3.8679e+06,-80000
56.822,4.5278e+05,3.8679e+06,-80000
57.505,4.5678e+05,3.8679e+06,-80000
58.435,4.6078e+05,3.8679e+06,-80000
59.62,4.6478e+05,3.8679e+06,-80000
61.209,4.6878e+05,3.8679e+06,-80000
63.04,4.7278e+05,3.8679e+06,-80000
65.457,4.7678e+05,3.8679e+06,-80000
66.598,4.8078e+05,3.8679e+06,-80000
66.642,4.8478e+05,3.8679e+06,-80000
65.635,4.8878e+05,3.8679e+06,-80000
63.845,4.9278e+05,3.8679e+06,-80000
62.916,4.9678e+05,3.8679e+06,-80000
61.828,5.0078e+05,3.8679e+06,-80000
61.016,5.0478e+05,3.8679e+06,-80000
60.368,5.0878e+05,3.8679e+06,-80000
59.842,5.1278e+05,3.8679e+06,-80000
59.387,5.1678e+05,3.8679e+06,-80000
58.876,5.2078e+05,3.8679e+06,-80000
58.585,5.2478e+05,3.8679e+06,-80000
58.336,5.2878e+05,3.8679e+06,-80000
58.146,5.3278e+05,3.8679e+06,-80000
58.115,5.3678e+05,3.8679e+06,-80000
58.046,5.4078e+05,3.8679e+06,-80000
58.102,5.4478e+05,3.8679e+06,-80000
58.219,5.4878e+05,3.8679e+06,-80000
58.343,5.5278e+05,3.8679e+06,-80000
58.535,5.5678e+05,3.8679e+06,-80000
58.8,5.6078e+05,3.8679e+06,-80000
59.178,5.6478e+05,3.8679e+06,-80000
59.51,5.6878e+05,3.8679e+06,-80000
60.027,5.7278e+05,3.8679e+06,-80000
60.599,5.7678e+05,3.8679e+06,-80000
61.252,5.8078e+05,3.8679e+06,-80000
62.094,5.8478e+05,3.8679e+06,-80000
62.988,5.8878e+05,3.8679e+06,-80000
64.099,5.9278e+05,3.8679e+06,-80000
65.504,5.9678e+05,3.8679e+06,-80000
66.942,6.0078e+05,3.8679e+06,-80000
68.62,6.0478e+05,3.8679e+06,-80000
70.768,6.0878e+05,3.8679e+06,-80000
73.241,6.1278e+05,3.8679e+06,-80000
76.13,6.1678e+05,3.8679e+06,-80000
79.48,6.2078e+05,3.8679e+06,-80000
82.809,6.2478e+05,3.8679e+06,-80000
85.91,6.2878e+05,3.8679e+06,-80000
89.078,6.3278e+05,3.8679e+06,-80000
91.153,6.3678e+05,3.8679e+06,-80000
92.187,6.4078e+05,3.8679e+06,-80000
92.841,6.4478e+05,3.8679e+06,-80000
92.461,6.4878e+05,3.8679e+06,-80000
91.383,6.5278e+05,3.8679e+06,-80000
89.483,6.5678e+05,3.8679e+06,-80000
87.268,6.6078e+05,3.8679e+06,-80000
84.25,6.6478e+05,3.8679e+06,-80000
80.92,6.6878e+05,3.8679e+06,-80000
77.874,6.7278e+05,3.8679e+06,-80000
74.827,6.7678e+05,3.8679e+06,-80000
72.371,6.8078e+05,3.8679e+06,-80000
70.243,6.8478e+05,3.8679e+06,-80000
68.473,6.8878e+05,3.8679e+06,-80000
66.936,6.9278e+05,3.8679e+06,-80000
54.1,4.1278e+05,3.8719e+06,-80000
54.094,4.1678e+05,3.8719e+06,-80000
54.158,4.2078e+05,3.8719e+06,-80000
54.372,4.2478e+05,3.8719e+06,-80000
54.73,4.2878e+05,3.8719e+06,-80000
55.076,4.3278e+05,3.8719e+06,-80000
55.491,4.3678e+05,3.8719e+06,-80000
56.001,4.4078e+05,3.8719e+06,-80000
56.548,4.4478e+05,3.8719e+06,-80000
57.075,4.4878e+05,3.8719e+06,-80000
57.716,4.5278e+05,3.8719e+06,-80000
58.39,4.5678e+05,3.8719e+06,-80000
59.519,4.6078e+05,3.8719e+06,-80000
60.597,4.6478e+05,3.8719e+06,-80000
62.103,4.6878e+05,3.8719e+06,-80000
64.068,4.7278e+05,3.8719e+06,-80000
65.175,4.7678e+05,3.8719e+06,-80000
66.343,4.8078e+05,3.8719e+06,-80000
65.321,4.8478e+05,3.8719e+06,-80000
64.291,4.8878e+05,3.8719e+06,-80000
63.101,4.9278e+05,3.8719e+06,-80000
62.2,4.9678e+05,3.8719e+06,-80000
61.46,5.0078e+05,3.8719e+06,-80000
60.658,5.0478e+05,3.8719e+06,-80000
59.93,5.0878e+05,3.8719e+06,-80000
59.426,5.1278e+05,3.8719e+06,-80000
58.884,5.1678e+05,3.8719e+06,-80000
58.479,5.2078e+05,3.8719e+06,-80000
58.19,5.2478e+05,3.8719e+06,-80000
58.022,5.2878e+05,3.8719e+06,-80000
57.88,5.3278e+05,3.8719e+06,-80000
57.848,5.3678e+05,3.8719e+06,-80000
57.8,5.4078e+05,3.8719e+06,-80000
57.855,5.4478e+05,3.8719e+06,-80000
57.927,5.4878e+05,3.8719e+06,-80000
58.085,5.5278e+05,3.8719e+06,-80000
58.244,5.5678e+05,3.8719e+06,-80000
58.51,5.6078e+05,3.8719e+06,-80000
58.802,5.6478e+05,3.8719e+06,-80000
59.099,5.6878e+05,3.8719e+06,-80000
59.532,5.7278e+05,3.8719e+06,-80000
60.041,5.7678e+05,3.8719e+06,-80000
60.615,5.8078e+05,3.8719e+06,-80000
61.336,5.8478e+05,3.8719e+06,-80000
62.106,5.8878e+05,3.8719e+06,-80000
63.069,5.9278e+05,3.8719e+06,-80000
64.146,5.9678e+05,3.8719e+06,-80000
65.453,6.0078e+05,3.8719e+06,-80000
66.782,6.0478e+05,3.8719e+06,-80000
68.519,6.0878e+05,3.8719e+06,-80000
70.475,6.1278e+05,3.8719e+06,-80000
72.803,6.1678e+05,3.8719e+06,-80000
75.112,6.2078e+05,3.8719e+06,-80000
77.473,6.2478e+05,3.8719e+06,-80000
79.827,6.2878e+05,3.8719e+06,-80000
82.179,6.3278e+05,3.8719e+06,-80000
83.99,6.3678e+05,3.8719e+06,-80000
85.048,6.4078e+05,3.8719e+06,-80000
85.411,6.4478e+05,3.8719e+06,-80000
85.174,6.4878e+05,3.8719e+06,-80000
84.177,6.5278e+05,3.8719e+06,-80000
82.379,6.5678e+05,3.8719e+06,-80000
80.354,6.6078e+05,3.8719e+06,-80000
78.141,6.6478e+05,3.8719e+06,-80000
75.814,6.6878e+05,3.8719e+06,-80000
73.694,6.7278e+05,3.8719e+06,-80000
71.678,6.7678e+05,3.8719e+06,-80000
69.826,6.8078e+05,3.8719e+06,-80000
68.191,6.8478e+05,3.8719e+06,-80000
66.868,6.8878e+05,3.8719e+06,-80000
65.722,6.9278e+05,3.8719e+06,-80000
54.318,4.1278e+05,3.8759e+06,-80000
54.469,4.1678e+05,3.8759e+06,-80000
54.742,4.2078e+05,3.8759e+06,-80000
55.128,4.2478e+05,3.8759e+06,-80000
55.494,4.2878e+05,3.8759e+06,-80000
55.886,4.3278e+05,3.8759e+06,-80000
56.321,4.3678e+05,3.8759e+06,-80000
56.792,4.4078e+05,3.8759e+06,-80000
57.28,4.4478e+05,3.8759e+06,-80000
57.748,4.4878e+05,3.8759e+06,-80000
58.33,4.5278e+05,3.8759e+06,-80000
59.136,4.5678e+05,3.8759e+06,-80000
60.471,4.6078e+05,3.8759e+06,-80000
61.895,4.6478e+05,3.8759e+06,-80000
63.567,4.6878e+05,3.8759e+06,-80000
64.387,4.7278e+05,3.8759e+06,-80000
65.361,4.7678e+05,3.8759e+06,-80000
65.068,4.8078e+05,3.8759e+06,-80000
64.706,4.8478e+05,3.8759e+06,-80000
63.568,4.8878e+05,3.8759e+06,-80000
62.346,4.9278e+05,3.8759e+06,-80000
61.609,4.9678e+05,3.8759e+06,-80000
60.809,5.0078e+05,3.8759e+06,-80000
60.078,5.0478e+05,3.8759e+06,-80000
59.334,5.0878e+05,3.8759e+06,-80000
58.79,5.1278e+05,3.8759e+06,-80000
58.423,5.1678e+05,3.8759e+06,-80000
58.096,5.2078e+05,3.8759e+06,-80000
57.898,5.2478e+05,3.8759e+06,-80000
57.739,5.2878e+05,3.8759e+06,-80000
57.614,5.3278e+05,3.8759e+06,-80000
57.608,5.3678e+05,3.8759e+06,-80000
57.595,5.4078e+05,3.8759e+06,-80000
57.606,5.4478e+05,3.8759e+06,-80000
57.712,5.4878e+05,3.8759e+06,-80000
57.844,5.5278e+05,3.8759e+06,-80000
57.981,5.5678e+05,3.8759e+06,-80000
58.228,5.6078e+05,3.8759e+06,-80000
58.501,5.6478e+05,3.8759e+06,-80000
58.771,5.6878e+05,3.8759e+06,-80000
59.184,5.7278e+05,3.8759e+06,-80000
59.634,5.7678e+05,3.8759e+06,-80000
60.123,5.8078e+05,3.8759e+06,-80000
