"None","Points:0","Points:1","Points:2"
58.442,4.1278e+05,3.8639e+06,-1e+05
58.213,4.1678e+05,3.8639e+06,-1e+05
57.428,4.2078e+05,3.8639e+06,-1e+05
58.339,4.2478e+05,3.8639e+06,-1e+05
60.463,4.2878e+05,3.8639e+06,-1e+05
60.57,4.3278e+05,3.8639e+06,-1e+05
61.384,4.3678e+05,3.8639e+06,-1e+05
61.764,4.4078e+05,3.8639e+06,-1e+05
61.848,4.4478e+05,3.8639e+06,-1e+05
61.607,4.4878e+05,3.8639e+06,-1e+05
60.868,4.5278e+05,3.8639e+06,-1e+05
59.915,4.5678e+05,3.8639e+06,-1e+05
59.117,4.6078e+05,3.8639e+06,-1e+05
58.372,4.6478e+05,3.8639e+06,-1e+05
57.792,4.6878e+05,3.8639e+06,-1e+05
57.266,4.7278e+05,3.8639e+06,-1e+05
56.707,4.7678e+05,3.8639e+06,-1e+05
56.272,4.8078e+05,3.8639e+06,-1e+05
55.923,4.8478e+05,3.8639e+06,-1e+05
55.547,4.8878e+05,3.8639e+06,-1e+05
55.24,4.9278e+05,3.8639e+06,-1e+05
54.984,4.9678e+05,3.8639e+06,-1e+05
54.752,5.0078e+05,3.8639e+06,-1e+05
54.542,5.0478e+05,3.8639e+06,-1e+05
54.357,5.0878e+05,3.8639e+06,-1e+05
54.19,5.1278e+05,3.8639e+06,-1e+05
54.04,5.1678e+05,3.8639e+06,-1e+05
53.927,5.2078e+05,3.8639e+06,-1e+05
53.829,5.2478e+05,3.8639e+06,-1e+05
53.746,5.2878e+05,3.8639e+06,-1e+05
53.702,5.3278e+05,3.8639e+06,-1e+05
53.676,5.3678e+05,3.8639e+06,-1e+05
53.679,5.4078e+05,3.8639e+06,-1e+05
53.706,5.4478e+05,3.8639e+06,-1e+05
53.769,5.4878e+05,3.8639e+06,-1e+05
53.869,5.5278e+05,3.8639e+06,-1e+05
53.997,5.5678e+05,3.8639e+06,-1e+05
54.175,5.6078e+05,3.8639e+06,-1e+05
54.387,5.6478e+05,3.8639e+06,-1e+05
54.621,5.6878e+05,3.8639e+06,-1e+05
54.922,5.7278e+05,3.8639e+06,-1e+05
55.278,5.7678e+05,3.8639e+06,-1e+05
55.69,5.8078e+05,3.8639e+06,-1e+05
56.196,5.8478e+05,3.8639e+06,-1e+05
56.771,5.8878e+05,3.8639e+06,-1e+05
57.393,5.9278e+05,3.8639e+06,-1e+05
58.221,5.9678e+05,3.8639e+06,-1e+05
59.157,6.0078e+05,3.8639e+06,-1e+05
60.128,6.0478e+05,3.8639e+06,-1e+05
61.359,6.0878e+05,3.8639e+06,-1e+05
62.896,6.1278e+05,3.8639e+06,-1e+05
64.484,6.1678e+05,3.8639e+06,-1e+05
66.51,6.2078e+05,3.8639e+06,-1e+05
68.869,6.2478e+05,3.8639e+06,-1e+05
71.408,6.2878e+05,3.8639e+06,-1e+05
74.804,6.3278e+05,3.8639e+06,-1e+05
78.429,6.3678e+05,3.8639e+06,-1e+05
81.876,6.4078e+05,3.8639e+06,-1e+05
85.589,6.4478e+05,3.8639e+06,-1e+05
