"None","Points:0","Points:1","Points:2"
63.994,5.5278e+05,3.8639e+06,-1.9513e+05
63.908,5.5278e+05,3.8679e+06,-1.9513e+05
63.887,5.5278e+05,3.8719e+06,-1.9513e+05
63.969,5.5278e+05,3.8759e+06,-1.9513e+05
64.161,5.5278e+05,3.8799e+06,-1.9513e+05
64.503,5.5278e+05,3.8839e+06,-1.9513e+05
65.027,5.5278e+05,3.8879e+06,-1.9513e+05
65.761,5.5278e+05,3.8919e+06,-1.9513e+05
66.746,5.5278e+05,3.8959e+06,-1.9513e+05
67.883,5.5278e+05,3.8999e+06,-1.9513e+05
68.739,5.5278e+05,3.9039e+06,-1.9513e+05
68.644,5.5278e+05,3.9079e+06,-1.9513e+05
63.97,5.5278e+05,3.9119e+06,-1.9513e+05
48.3,5.5278e+05,3.9159e+06,-1.9513e+05
27.144,5.5278e+05,3.9199e+06,-1.9513e+05
10.019,5.5278e+05,3.9239e+06,-1.9513e+05
5.49,5.5278e+05,3.9279e+06,-1.9513e+05
17.239,5.5278e+05,3.9319e+06,-1.9513e+05
49.053,5.5278e+05,3.9359e+06,-1.9513e+05
68.843,5.5278e+05,3.9399e+06,-1.9513e+05
92.898,5.5278e+05,3.9439e+06,-1.9513e+05
100,5.5278e+05,3.9479e+06,-1.9513e+05
100,5.5278e+05,3.9519e+06,-1.9513e+05
100,5.5278e+05,3.9559e+06,-1.9513e+05
100,5.5278e+05,3.9599e+06,-1.9513e+05
100,5.5278e+05,3.9639e+06,-1.9513e+05
100,5.5278e+05,3.9679e+06,-1.9513e+05
100,5.5278e+05,3.9719e+06,-1.9513e+05
100,5.5278e+05,3.9759e+06,-1.9513e+05
98.106,5.5278e+05,3.9799e+06,-1.9513e+05
95.265,5.5278e+05,3.9839e+06,-1.9513e+05
88.162,5.5278e+05,3.9879e+06,-1.9513e+05
74.777,5.5278e+05,3.9919e+06,-1.9513e+05
67.212,5.5278e+05,3.9959e+06,-1.9513e+05
63.509,5.5278e+05,3.9999e+06,-1.9513e+05
61.362,5.5278e+05,4.0039e+06,-1.9513e+05
61.375,5.5278e+05,4.0079e+06,-1.9513e+05
61.381,5.5278e+05,4.0119e+06,-1.9513e+05
61.483,5.5278e+05,4.0159e+06,-1.9513e+05
61.8,5.5278e+05,4.0199e+06,-1.9513e+05
63.972,5.5278e+05,4.0239e+06,-1.9513e+05
70.131,5.5278e+05,4.0279e+06,-1.9513e+05
72.75,5.5278e+05,4.0319e+06,-1.9513e+05
60.237,5.5278e+05,4.0359e+06,-1.9513e+05
43.439,5.5278e+05,4.0399e+06,-1.9513e+05
32.367,5.5278e+05,4.0439e+06,-1.9513e+05
24.899,5.5278e+05,4.0479e+06,-1.9513e+05
22.878,5.5278e+05,4.0519e+06,-1.9513e+05
24.735,5.5278e+05,4.0559e+06,-1.9513e+05
26.841,5.5278e+05,4.0599e+06,-1.9513e+05
29.086,5.5278e+05,4.0639e+06,-1.9513e+05
31.106,5.5278e+05,4.0679e+06,-1.9513e+05
32.68,5.5278e+05,4.0719e+06,-1.9513e+05
33.93,5.5278e+05,4.0759e+06,-1.9513e+05
34.95,5.5278e+05,4.0799e+06,-1.9513e+05
35.792,5.5278e+05,4.0839e+06,-1.9513e+05
36.477,5.5278e+05,4.0879e+06,-1.9513e+05
37.028,5.5278e+05,4.0919e+06,-1.9513e+05
37.448,5.5278e+05,4.0959e+06,-1.9513e+05
64.404,5.5278e+05,3.8639e+06,-1.923e+05
64.111,5.5278e+05,3.8679e+06,-1.923e+05
63.816,5.5278e+05,3.8719e+06,-1.923e+05
63.628,5.5278e+05,3.8759e+06,-1.923e+05
63.622,5.5278e+05,3.8799e+06,-1.923e+05
63.819,5.5278e+05,3.8839e+06,-1.923e+05
64.342,5.5278e+05,3.8879e+06,-1.923e+05
65.15,5.5278e+05,3.8919e+06,-1.923e+05
66.214,5.5278e+05,3.8959e+06,-1.923e+05
67.51,5.5278e+05,3.8999e+06,-1.923e+05
68.672,5.5278e+05,3.9039e+06,-1.923e+05
69.487,5.5278e+05,3.9079e+06,-1.923e+05
68.372,5.5278e+05,3.9119e+06,-1.923e+05
58.539,5.5278e+05,3.9159e+06,-1.923e+05
39.247,5.5278e+05,3.9199e+06,-1.923e+05
18.924,5.5278e+05,3.9239e+06,-1.923e+05
8.379,5.5278e+05,3.9279e+06,-1.923e+05
22.558,5.5278e+05,3.9319e+06,-1.923e+05
50.839,5.5278e+05,3.9359e+06,-1.923e+05
84.228,5.5278e+05,3.9399e+06,-1.923e+05
97.987,5.5278e+05,3.9439e+06,-1.923e+05
100,5.5278e+05,3.9479e+06,-1.923e+05
100,5.5278e+05,3.9519e+06,-1.923e+05
100,5.5278e+05,3.9559e+06,-1.923e+05
100,5.5278e+05,3.9599e+06,-1.923e+05
100,5.5278e+05,3.9639e+06,-1.923e+05
100,5.5278e+05,3.9679e+06,-1.923e+05
100,5.5278e+05,3.9719e+06,-1.923e+05
100,5.5278e+05,3.9759e+06,-1.923e+05
100,5.5278e+05,3.9799e+06,-1.923e+05
100,5.5278e+05,3.9839e+06,-1.923e+05
97.901,5.5278e+05,3.9879e+06,-1.923e+05
91.835,5.5278e+05,3.9919e+06,-1.923e+05
86.187,5.5278e+05,3.9959e+06,-1.923e+05
74.812,5.5278e+05,3.9999e+06,-1.923e+05
71.642,5.5278e+05,4.0039e+06,-1.923e+05
73.323,5.5278e+05,4.0079e+06,-1.923e+05
69.752,5.5278e+05,4.0119e+06,-1.923e+05
67.915,5.5278e+05,4.0159e+06,-1.923e+05
65.193,5.5278e+05,4.0199e+06,-1.923e+05
68.707,5.5278e+05,4.0239e+06,-1.923e+05
74.962,5.5278e+05,4.0279e+06,-1.923e+05
